post_id,post_timestamp,comment_id,comment_timestamp,comment_username,comment_text,comment_scrape_date,comment_user_id,comment_like_count,comment_reply_count,comment_did_report_as_spam,comment_hashtags,comment_mentions,reply_id,reply_timestamp,reply_username,reply_text,reply_scrape_date,reply_user_id,reply_like_count,reply_hashtags,reply_mentions
3467054456850989085,2024-09-28T12:07:07.000Z,18036521218980533,2024-09-28T12:57:41.000Z,argyllseaglass,💙🏴󠁧󠁢󠁳󠁣󠁴󠁿💙,2025-04-01T10:59:47.304Z,1678244444,1.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18091473838482522,2024-09-28T12:34:03.000Z,davetheplumber.72,Highland Cathedral is one of the greatest tunes ever written.....and I'm a Heavy metal guy!!🏴󠁧󠁢󠁳󠁣󠁴󠁿🤘 Congratulations to Scotland and devolution,2025-04-01T10:59:47.304Z,7183664400,5.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17994654959699698,2024-09-28T13:17:06.000Z,justmecelticghirl,Goosebumps at the Big Noise Orchestra rendition of Highland Cathedral they were phenomenal omg makes me so proud to be Scottish,2025-04-01T10:59:47.304Z,8648449607,4.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18021030050440780,2024-09-28T12:43:53.000Z,daisyfcollins,💛,2025-04-01T10:59:47.304Z,1203207791,1.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18061454560671919,2024-09-28T13:14:50.000Z,ma23n,❤️❤️❤️❤️❤️,2025-04-01T10:59:47.304Z,269422198,2.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17845522785316680,2024-09-28T13:10:21.000Z,the_amanda_brown,Incredible how fast it has passed. Wish you were still our FM. You would have taken us there. 😢,2025-04-01T10:59:47.304Z,2065127575,7.0,1.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,2024-09-29T07:34:43.000Z,hezzatayethatsme,I wonder if you have any idea just how much you are loved Nicola ….. ❤️x,2025-04-01T10:59:47.304Z,5704969607,11.0,4.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,17977873469785373,2024-10-13T09:21:05.000Z,calahonda12,@hezzatayethatsme 😂😂😂😂,2025-04-01T10:59:47.304Z,37439688,2.0,[],['@hezzatayethatsme']
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,17889580917032447,2024-10-13T11:48:34.000Z,hezzatayethatsme,@calahonda12 do you enjoy being nasty to other people?  Just curious 👀,2025-04-01T10:59:47.304Z,5704969607,1.0,[],['@calahonda12']
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,18024548936393533,2024-10-13T12:02:09.000Z,calahonda12,@hezzatayethatsme well don’t write such bloody nonsense.,2025-04-01T10:59:47.304Z,37439688,1.0,[],['@hezzatayethatsme']
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,18459485668052679,2024-10-13T19:19:42.000Z,hezzatayethatsme,@calahonda12 is your need to reply for attention or due to insecurity?,2025-04-01T10:59:47.304Z,5704969607,0.0,[],['@calahonda12']
3467054456850989085,2024-09-28T12:07:07.000Z,18019343978273324,2024-09-28T19:58:10.000Z,corpen70,Fantastic music. Who are the other 12 MSPs? Trying to Google this. Great trivia question.,2025-04-01T10:59:47.304Z,6265325637,1.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18018961538271724,2024-09-28T12:18:00.000Z,lleddewalegna,Here's hoping we'll manage to become an Independent Country in the next 25 years.  Hopefully I'll still be around to see that💙🏴󠁧󠁢󠁳󠁣󠁴󠁿💙,2025-04-01T10:59:47.304Z,24097906706,25.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17933203877923046,2024-09-29T02:05:26.000Z,ryannmcshane,"That parliament is not what it is without you and what you’ve done for it. I’ve been around for some of it and seen your impact. 1000 voices, the care review, the promise, UNCRC the list could go on! I’m with you always. Sending you my love xx",2025-04-01T10:59:47.304Z,1788577690,4.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18281154640215556,2024-09-28T17:48:10.000Z,mikephoto2020,👏🏴󠁧󠁢󠁳󠁣󠁴󠁿👏,2025-04-01T10:59:47.304Z,29185975028,1.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17996852828691419,2024-09-28T12:20:56.000Z,elainealba16,That's a gorgeous photo of you & Humza! 🩵🏴󠁧󠁢󠁳󠁣󠁴󠁿,2025-04-01T10:59:47.304Z,269132000,5.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18018308435302268,2024-09-28T14:01:18.000Z,slind1962,It was an honour to have you lead Scotland through the worst of times. Thank you.,2025-04-01T10:59:47.304Z,41318761,24.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18012967973556331,2024-09-28T18:40:56.000Z,kennynorah,And a fantastic job you've done too 👏👏👏,2025-04-01T10:59:47.304Z,7442741035,2.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18023819690186184,2024-09-28T16:26:36.000Z,arlene.phillips.1217,♥️♥️🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,2025-04-01T10:59:47.304Z,6845218819,2.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17868183942229800,2024-10-13T02:19:08.000Z,lynnlrobertson,RIP alex salmond,2025-04-01T10:59:47.304Z,40586965,1.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,17928295178953598,2024-09-28T16:07:46.000Z,caitrionav,Loving that you ignored the unelected ‘head of state’. You’re a star.,2025-04-01T10:59:47.304Z,3561330398,5.0,0.0,False,[],[],,,,,,,,,
3467054456850989085,2024-09-28T12:07:07.000Z,18069373759606893,2024-09-29T12:32:27.000Z,southmelbourneboys,You are and will always be one of the biggest forces of Scottish political history! Take your place. 💙,2025-04-01T10:59:47.304Z,40008470572,6.0,0.0,False,[],[],,,,,,,,,
