post_id,post_timestamp,comment_id,comment_timestamp,comment_username,comment_text,comment_scrape_date,comment_user_id,comment_like_count,comment_reply_count,comment_did_report_as_spam,comment_hashtags,comment_mentions,reply_id,reply_timestamp,reply_username,reply_text,reply_scrape_date,reply_user_id,reply_like_count,reply_hashtags,reply_mentions,text_for_analysis,sentiment_label,sentiment_score,toxicity_toxicity,toxicity_severe_toxicity,toxicity_obscene,toxicity_identity_attack,toxicity_insult,toxicity_threat,toxicity_sexual_explicit,misogyny_label,misogyny_score
3467054456850989085,2024-09-28T12:07:07.000Z,18036521218980533,2024-09-28T12:57:41.000Z,argyllseaglass,💙🏴󠁧󠁢󠁳󠁣󠁴󠁿💙,2025-04-01T10:59:47.304Z,1678244444.0,1.0,0.0,False,[],[],,,,,,,,,,💙🏴󠁧󠁢󠁳󠁣󠁴󠁿💙,positive,0.4926062822341919,0.0004718960262835026,0.0004308169591240585,0.003287365660071373,0.0006025502225384116,0.0031448835507035255,0.0002483631542418152,0.00011975948291365057,LABEL_0,0.9999648332595825
3467054456850989085,2024-09-28T12:07:07.000Z,18091473838482522,2024-09-28T12:34:03.000Z,davetheplumber.72,Highland Cathedral is one of the greatest tunes ever written.....and I'm a Heavy metal guy!!🏴󠁧󠁢󠁳󠁣󠁴󠁿🤘 Congratulations to Scotland and devolution,2025-04-01T10:59:47.304Z,7183664400.0,5.0,0.0,False,[],[],,,,,,,,,,Highland Cathedral is one of the greatest tunes ever written.....and I'm a Heavy metal guy!!🏴󠁧󠁢󠁳󠁣󠁴󠁿🤘 Congratulations to Scotland and devolution,positive,0.9319095611572266,0.00035342611954547465,0.00014432246098294854,0.000608113594353199,0.00018503720639273524,0.0002686203515622765,0.00010476362513145432,8.789990533841774e-05,LABEL_0,0.9999783039093018
3467054456850989085,2024-09-28T12:07:07.000Z,17994654959699698,2024-09-28T13:17:06.000Z,justmecelticghirl,Goosebumps at the Big Noise Orchestra rendition of Highland Cathedral they were phenomenal omg makes me so proud to be Scottish,2025-04-01T10:59:47.304Z,8648449607.0,4.0,0.0,False,[],[],,,,,,,,,,Goosebumps at the Big Noise Orchestra rendition of Highland Cathedral they were phenomenal omg makes me so proud to be Scottish,positive,0.9118590354919434,0.0010738002602010965,2.2459991669165902e-05,0.00014055032806936651,0.00023819808848202229,0.00028284781728871167,2.7867570679518394e-05,1.903528936963994e-05,LABEL_0,0.9999794960021973
3467054456850989085,2024-09-28T12:07:07.000Z,18021030050440780,2024-09-28T12:43:53.000Z,daisyfcollins,💛,2025-04-01T10:59:47.304Z,1203207791.0,1.0,0.0,False,[],[],,,,,,,,,,💛,positive,0.5212175250053406,0.0006902414606884122,3.034104338439647e-05,0.00029028370045125484,0.00013523781672120094,0.0005723258364014328,5.1263814384583384e-05,3.14993885695003e-05,LABEL_0,0.9999629259109497
3467054456850989085,2024-09-28T12:07:07.000Z,18061454560671919,2024-09-28T13:14:50.000Z,ma23n,❤️❤️❤️❤️❤️,2025-04-01T10:59:47.304Z,269422198.0,2.0,0.0,False,[],[],,,,,,,,,,❤️❤️❤️❤️❤️,positive,0.8503305912017822,0.0011730839032679796,3.59760488208849e-05,0.0002465875877533108,0.00015989012899808586,0.0003795826341956854,7.532430754508823e-05,4.504236130742356e-05,LABEL_0,0.999963641166687
3467054456850989085,2024-09-28T12:07:07.000Z,17845522785316680,2024-09-28T13:10:21.000Z,the_amanda_brown,Incredible how fast it has passed. Wish you were still our FM. You would have taken us there. 😢,2025-04-01T10:59:47.304Z,2065127575.0,7.0,1.0,False,[],[],,,,,,,,,,Incredible how fast it has passed. Wish you were still our FM. You would have taken us there. 😢,negative,0.6057114005088806,0.0010859051253646612,2.0328976461314596e-05,0.00022083974909037352,8.935172081692144e-05,0.00037612675805576146,4.7452842409256846e-05,3.433525489526801e-05,LABEL_0,0.9999535083770752
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,2024-09-29T07:34:43.000Z,hezzatayethatsme,I wonder if you have any idea just how much you are loved Nicola ….. ❤️x,2025-04-01T10:59:47.304Z,5704969607.0,11.0,4.0,False,[],[],,,,,,,,,,I wonder if you have any idea just how much you are loved Nicola ….. ❤️x,positive,0.5908078551292419,0.0007224008440971375,2.4196204321924597e-05,0.00016113396850414574,0.00013295430107973516,0.00018570692918729037,4.006900417152792e-05,2.6280185920768417e-05,LABEL_0,0.9999537467956543
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,1.7977873469785372e+16,2024-10-13T09:21:05.000Z,calahonda12,@hezzatayethatsme 😂😂😂😂,2025-04-01T10:59:47.304Z,37439688.0,2.0,[],['@hezzatayethatsme'],@hezzatayethatsme 😂😂😂😂,neutral,0.43331098556518555,0.0003513915289659053,2.176973248424474e-05,0.00017065084830392152,0.00010595425555948168,0.0002703409700188786,2.7316984414937906e-05,2.391304042248521e-05,LABEL_0,0.9999635219573975
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,1.7889580917032448e+16,2024-10-13T11:48:34.000Z,hezzatayethatsme,@calahonda12 do you enjoy being nasty to other people?  Just curious 👀,2025-04-01T10:59:47.304Z,5704969607.0,1.0,[],['@calahonda12'],@calahonda12 do you enjoy being nasty to other people?  Just curious 👀,neutral,0.5611439943313599,0.16845454275608063,2.5780964278965257e-05,0.00032357804593630135,0.0023528030142188072,0.07442107796669006,0.0001672865910222754,0.00011532441567396745,LABEL_0,0.9999498128890991
3467054456850989085,2024-09-28T12:07:07.000Z,17906120364019665,,hezzatayethatsme,,,,,,,,,1.8024548936393532e+16,2024-10-13T12:02:09.000Z,calahonda12,@hezzatayethatsme well don’t write such bloody nonsense.,2025-04-01T10:59:47.304Z,37439688.0,1.0,[],['@hezzatayethatsme'],@hezzatayethatsme well don’t write such bloody nonsense.,negative,0.8487886786460876,0.9489931464195251,0.0011342965299263597,0.3184066116809845,0.0014243650948628783,0.8188889026641846,0.0009687795536592603,0.00205379631370306,LABEL_0,0.9999419450759888
